source_lot_id,noticeNumber,title,region,etp_code_original,detected_platform_code,detected_site_type,detected_domain,detection_method,matched_value,matched_field_path,matched_text_fragment,confidence,notice_url,comment
21000006870000000477_1,21000006870000000477,"Земельный участок площадью 367087 кв.м, кадастровый номер 50:03:0070280:4630, категория  земель – земли сельскохозяйственного назначения, вид разрешенного использования – растениеводство, скотоводство, расположенный по адресу: Московская область, г.о. Клин",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000006870000000477,
21000005710000001078_1,21000005710000001078,"земельный участок, местоположение: Российская Федерация, Московская область, Рузский муниципальный округ, д.Шелковка, площадь 1649 кв.м, разрешенное использование: для ведения личного подсобного хозяйства (приусадебный земельный участок)",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000005710000001078,
21000006870000000477_1,21000006870000000477,"Земельный участок площадью 367087 кв.м, кадастровый номер 50:03:0070280:4630, категория  земель – земли сельскохозяйственного назначения, вид разрешенного использования – растениеводство, скотоводство, расположенный по адресу: Московская область, г.о. Клин",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000006870000000477,
21000005710000001078_1,21000005710000001078,"земельный участок, местоположение: Российская Федерация, Московская область, Рузский муниципальный округ, д.Шелковка, площадь 1649 кв.м, разрешенное использование: для ведения личного подсобного хозяйства (приусадебный земельный участок)",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000005710000001078,
21000006870000000477_1,21000006870000000477,"Земельный участок площадью 367087 кв.м, кадастровый номер 50:03:0070280:4630, категория  земель – земли сельскохозяйственного назначения, вид разрешенного использования – растениеводство, скотоводство, расположенный по адресу: Московская область, г.о. Клин",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000006870000000477,
21000005710000001078_1,21000005710000001078,"земельный участок, местоположение: Российская Федерация, Московская область, Рузский муниципальный округ, д.Шелковка, площадь 1649 кв.м, разрешенное использование: для ведения личного подсобного хозяйства (приусадебный земельный участок)",,,,UNKNOWN,,unknown,,,,low,https://torgi.gov.ru/new/api/public/notices/noticeNumber/21000005710000001078,
